cid,Probability of nongelator,Probability of gelator
71316009,0.5385039339243907,0.46149606607560933
20039,0.5385039339243907,0.46149606607560933
488949,0.5385039339243907,0.46149606607560933
14018268,0.5385039339243907,0.4614960660756093
263976,0.5385039339243907,0.4614960660756093
14825624,0.5385610321923462,0.46143896780765375
502229,0.538593402650865,0.461406597349135
5276642,0.5385979125917002,0.4614020874082998
131698258,0.5385979125917002,0.4614020874082998
50312,0.5385979125917002,0.4614020874082998
138393692,0.5386236726302838,0.4613763273697163
121486788,0.5387496336982815,0.4612503663017184
6479136,0.5389078542896188,0.46109214571038115
131884619,0.5389281622149484,0.4610718377850516
357380,0.5389960176331725,0.46100398236682755
20841954,0.5390729156511165,0.4609270843488835
513632,0.5390836501508275,0.4609163498491725
10357410,0.5390999518514186,0.4609000481485815
102304745,0.5391775289763199,0.4608224710236801
21456083,0.5391919253328545,0.4608080746671454
3005950,0.5391919253328545,0.4608080746671454
5278744,0.5393025983616784,0.4606974016383216
451895,0.5393115601656229,0.4606884398343772
5271786,0.5393393326567123,0.4606606673432877
510575,0.5393678741298851,0.4606321258701149
15954522,0.539386103364913,0.46061389663508695
436109,0.539386103364913,0.46061389663508695
15788251,0.539386103364913,0.46061389663508695
92273080,0.539386103364913,0.46061389663508695
92022744,0.5394039787329047,0.4605960212670953
53835084,0.5394039787329047,0.4605960212670953
159359,0.5394416221951206,0.4605583778048794
5271381,0.5394416221951206,0.4605583778048794
123134085,0.5394416221951206,0.4605583778048794
92969927,0.5394416221951206,0.4605583778048794
10826879,0.5395147610896842,0.46048523891031584
6453625,0.5395296974844208,0.46047030251557924
46863998,0.5395296974844208,0.46047030251557924
5274184,0.5395412613015467,0.46045873869845333
131884262,0.539560678874221,0.460439321125779
116493392,0.5395907285419193,0.46040927145808075
12038994,0.539614874408699,0.46038512559130096
270266,0.539614874408699,0.4603851255913009
59035028,0.5396359880049905,0.46036401199500954
92262962,0.5396359880049905,0.46036401199500954
469090,0.5396987295587194,0.4603012704412806
59035009,0.5397277141506358,0.4602722858493642
86288424,0.5397768501108618,0.46022314988913815
121486953,0.539866206418792,0.46013379358120804
72212336,0.5399155384027392,0.46008446159726085
