cid,Iso_smiles,Type,Canonical_smiles
69906586,C1=NN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)F)O,Cytidine,O=c1cnn([C@@H]2O[C@H](CO)[C@@H](F)[C@H]2O)c(=O)[nH]1
71356777,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COCC(=O)O)O)O,Cytidine,Nc1ccn([C@@H]2O[C@H](COCC(=O)O)[C@@H](O)[C@H]2O)c(=O)n1
71621353,CC[C@]1([C@H]([C@H]([C@@H](O1)N2C=CC(=NC2=O)N)F)O)CO,Cytidine,CC[C@]1(CO)O[C@@H](n2ccc(N)nc2=O)[C@H](F)[C@@H]1O
86288424,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@](O2)(CO)F)O)F,Cytidine,Nc1ccn([C@@H]2O[C@](F)(CO)[C@@H](O)[C@H]2F)c(=O)n1
90472730,CC1=CN(C(=O)NC1=O)[C@H]2C[13C@@H]([C@H](O2)CO)O,Cytidine,Cc1cn([C@H]2C[13C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
90472731,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([13C@@H]([C@H](O2)CO)O)O,Cytidine,O=c1ccn([C@@H]2O[C@H](CO)[13C@@H](O)[C@H]2O)c(=O)[nH]1
90472737,[2H]C([2H])([C@@H]1[C@H](C[C@@H](O1)N2C=CC(=O)NC2=O)O)O,Cytidine,[2H]C([2H])(O)[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)C[C@@H]1O
90474928,CC(C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)OC,Cytidine,COC(C)c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]c1=O
90669224,CCN1C(=O)C=CN(C1=O)[C@H]2C[C@@H]([C@H](O2)CO)O,Cytidine,CCn1c(=O)ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c1=O
92043551,[2H]C([2H])([C@@H]1[C@H]([C@H]([C@@H](O1)N2C=CC(=O)NC2=O)O)O)O,Cytidine,[2H]C([2H])(O)[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O
100935581,[2H][C@@]1([C@H]([C@@H](O[C@]1([2H])C([2H])([2H])O)N2C=CC(=O)NC2=O)O)O,Cytidine,[2H]C([2H])(O)[C@@]1([2H])O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@]1([2H])O
100935585,[2H][C@@]1([C@H]([C@@H](O[C@]1([2H])C([2H])([2H])O)N2C=CC(=NC2=O)N)O)O,Cytidine,[2H]C([2H])(O)[C@@]1([2H])O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@]1([2H])O
100997305,C1=C(C(=O)NC(=S)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)CC(=O)N,Cytidine,NC(=O)Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=S)[nH]c1=O
101075208,CC(=O)O[C@@H]1[C@H](O[C@H]([C@@H]1O)N2C=CC(=NC2=O)N)CO,Cytidine,CC(=O)O[C@@H]1[C@@H](CO)O[C@@H](n2ccc(N)nc2=O)[C@@H]1O
101245382,C1=C(C(=O)NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)Cl)/C=C/CO,Cytidine,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2Cl)cc1/C=C/CO
101335352,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=O)NC2=O)C=C)O)O,Cytidine,C=Cc1cn([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)c(=O)[nH]c1=O
101335354,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=O)NC2=O)C#N)O)O,Cytidine,C[C@H]1O[C@@H](n2cc(C#N)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O
101335355,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=O)NC2=O)C#C)O)O,Cytidine,C#Cc1cn([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)c(=O)[nH]c1=O
101335356,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=O)NC2=O)I)O)O,Cytidine,C[C@H]1O[C@@H](n2cc(I)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O
101343952,C1=CN(C(=O)NC1=O)[13C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,Cytidine,O=c1ccn([13C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
101384428,[2H]C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,Cytidine,[2H]c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]c1=O
101623924,CCC1=CN(C(=O)N=C1N)[C@H]2C[C@@H]([C@H](O2)CO)F,Cytidine,CCc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)nc1N
101658091,C1=CN(C(=O)NC1=O)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)C#N,Cytidine,N#C[C@H]1[C@H](O)[C@@H](CO)O[C@H]1n1ccc(=O)[nH]c1=O
101670692,C1=C(C(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)F)F)N)F,Cytidine,Nc1nc(=O)n([C@@H]2O[C@H](CO)[C@@H](F)[C@H]2F)cc1F
102002581,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)Cl,Cytidine,Nc1ccn([C@H]2C[C@H](Cl)[C@@H](CO)O2)c(=O)n1
102129315,COC1=CC2=CC=CC=C2C=C1[C@H]3C[C@@H]([C@H](O3)CO)O,Cytidine,COc1cc2ccccc2cc1[C@H]1C[C@H](O)[C@@H](CO)O1
102266253,C1[C@@H]([C@H](O[C@H]1C2=CC=C(C=C2)O)CO)O,Cytidine,OC[C@H]1O[C@@H](c2ccc(O)cc2)C[C@@H]1O
102266259,C1[C@@H]([C@H](O[C@H]1C2=CC(=CC=C2)O)CO)O,Cytidine,OC[C@H]1O[C@@H](c2cccc(O)c2)C[C@@H]1O
102304745,CCC(=O)NC1=NC(=O)N(C=C1)[C@H]2C[C@@H]([C@H](O2)CO)O,Cytidine,CCC(=O)Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
102308085,C#CC[C@@H]1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O,Cytidine,C#CC[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1ccc(=O)[nH]c1=O
102601363,[13CH2]1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O,Cytidine,O=c1ccn([C@H]2[13CH2][C@H](O)[C@@H](CO)O2)c(=O)[nH]1
102601364,[2H]C([2H])([C@@H]1[C@H]([C@H]([C@@H](O1)N2C=CC(=NC2=O)N)O)O)O,Cytidine,[2H]C([2H])(O)[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O
118855773,CC1=C[15N](C(=O)[15NH]C1=O)[13C@H]2[13CH2][13C@@H]([13C@H](O2)[13CH2]O)O,Cytidine,Cc1c[15n]([13C@H]2[13CH2][13C@H](O)[13C@@H]([13CH2]O)O2)c(=O)[15nH]c1=O
118855911,[2H]C([2H])([C@@H]1[C@H](C[C@@H](O1)N2C=C(C(=O)NC2=O)C)O)O,Cytidine,[2H]C([2H])(O)[C@H]1O[C@@H](n2cc(C)c(=O)[nH]c2=O)C[C@@H]1O
118855918,C1=CN(C(=O)NC1=O)[C@H]2[13C@@H]([C@@H]([C@H](O2)CO)O)O,Cytidine,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[13C@H]2O)c(=O)[nH]1
121486931,C1[C@@H](O[C@@H](C1C#N)CO)N2C=CC(=NC2=O)N,Cytidine,N#CC1C[C@H](n2ccc(N)nc2=O)O[C@@H]1CO
121596077,C1=CN(C(=O)N=C1N)[13C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,Cytidine,Nc1ccn([13C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
131854196,CC1=CN(C(=O)NC1=O)[C@H]2[13C@@H]([C@@H]([C@H](O2)CO)O)O,Cytidine,Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[13C@H]2O)c(=O)[nH]c1=O
20285,C1=C(C(=NC(=O)N1[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O)N)F,Cytidine,Nc1nc(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)cc1F
55281,CC#CC1=CN(C(=O)NC1=O)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,Cytidine,CC#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)[nH]c1=O
64973,C1=C[C@@H](O[C@@H]1CO)N2C=C(C(=NC2=O)N)F,Cytidine,Nc1nc(=O)n([C@H]2C=C[C@@H](CO)O2)cc1F
64990,C1[C@H](O[C@H]([C@H]1F)N2C=CC(=NC2=O)N)CO,Cytidine,Nc1ccn([C@@H]2O[C@H](CO)C[C@@H]2F)c(=O)n1
