,Statistics,Pvalues,Difference_mean,Log_P
SpDiam_B(i),0.6571287406727709,0.5110981401497345,0.9950178201747456,0.6711936521311068
SpAD_B(i),-0.1037571695799112,0.9173620566705083,1.0568115955349193,0.0862530573097723
SpMAD_B(i),-1.8676290524384016,0.06181379399394172,1.007431882334395,2.783628735639286
Ho_B(i),0.21904291355759029,0.826616619185554,1.014183970603585,0.19041427163171545
EE_B(i),-0.02305714879553582,0.9816046868975358,1.0105436544978776,0.018566610843843666
SM1_B(i),0.2709214983475459,0.786451409876179,0.9942704528711593,0.240224338587856
SM2_B(i),-0.02305714879553582,0.9816046868975358,1.0102776297168015,0.018566610843843666
SM3_B(i),-0.04611429759107164,0.9632191503020813,1.0096791299735939,0.037474322667083115
SM4_B(i),-0.12681431837544702,0.8990873628120055,1.0074177951464178,0.10637507146555679
SM5_B(i),-0.14987146717098285,0.8808660233255833,1.006031524672789,0.12684973802052568
SM6_B(i),-0.2075143391598224,0.8356081953650434,1.0036673516491903,0.17959544158687982
VE1_B(i),-0.4496144015129485,0.652988501995299,0.9849146793438188,0.42619575783117375
VE2_B(i),-0.8300573566392896,0.40650635561717274,1.0433616739438754,0.900155715141902
VE3_B(i),-0.28821435994419775,0.7731826573146688,0.9933644175965872,0.25723996165291485
VE1sign_B(i),-1.2105003117656306,0.22608697120881394,1.1112563230948844,1.4868355253797085
VE2sign_B(i),-0.43808582711518057,0.6613240680116785,1.165434961737794,0.41351128996655656
VE3sign_B(i),-0.4611429759107164,0.6446960303989435,0.9475446294878235,0.4389763439686144
VR1_B(i),-0.12681431837544702,0.8990873628120055,1.0587440079462487,0.10637507146555679
VR2_B(i),-1.8676290524384016,0.06181379399394172,1.004391651438412,2.783628735639286
VR3_B(i),0.03458572319330373,0.9724100859310765,1.0198489667518882,0.027977664390055463
Wi_B(s),0.4150286783196448,0.6781209092299321,0.9316949023252934,0.3884296747434977
WiA_B(s),-0.4496144015129485,0.652988501995299,0.9445316282013831,0.42619575783117375
AVS_B(s),0.06917144638660747,0.944853151135727,0.9887075548281075,0.056725759187114505
Chi_B(s),0.05764287198883955,0.9540330995169046,1.0451491842575098,0.047056912625343617
ChiA_B(s),0.8300573566392896,0.40650635561717274,0.991532325285933,0.900155715141902
J_B(s),0.9222859518214328,0.3563794397365022,0.7454543678796469,1.0317592737798946
HyWi_B(s),1.2220288861633986,0.22169670353824067,0.9853786698543698,1.5064450314905307
SpAbs_B(s),0.7839430590482179,0.43307352239536234,0.9020013146875688,0.836847767713821
SpPos_B(s),0.8646430798325933,0.38723471980218416,0.893557543632629,0.9487242586891319
SpPosA_B(s),0.634071591877235,0.5260341013079137,0.966769458123763,0.6423892369620241
SpPosLog_B(s),0.13834289277321493,0.8899694278639254,0.9730762315248397,0.1165681675606414
SpMax_B(s),0.04611429759107164,0.9632191503020813,1.0018034930804607,0.037474322667083115
SpMaxA_B(s),-0.3112715087397336,0.7555942248898722,0.9465295758742249,0.28025078646250856
SpDiam_B(s),0.4611429759107164,0.6446960303989435,1.0001232573837906,0.4389763439686144
SpAD_B(s),0.6225430174794672,0.5335848667781606,0.874756977714629,0.6281371453935363
SpMAD_B(s),0.9914573982080404,0.32146228480410954,0.98840408120532,1.1348750522819129
Ho_B(s),0.518785847899556,0.6039100879173571,0.9295939550096348,0.5043299531922083
EE_B(s),0.6110144430816993,0.5411900186758699,0.9943691217371597,0.61398482580482
SM1_B(s),0.9395788134180847,0.3474336479798993,0.9727009873816759,1.0571815732738943
SM2_B(s),1.2450860349589343,0.21310012686843538,0.9864677381445175,1.545993144530791
SM3_B(s),0.8761716542303611,0.38093672374582943,1.0013327508533865,0.9651219970554199
SM4_B(s),0.6686573150705388,0.5037141021488649,1.0144835335777147,0.6857464295033954
SM5_B(s),0.5072572735017881,0.6119743135399909,1.0089941138287228,0.49106496869051647
SM6_B(s),0.48420012470625223,0.6282438484081292,1.00410328365254,0.46482689423688844
VE1_B(s),-1.8561004780406336,0.06343923763475535,1.010911402314303,2.757672718834381
VE2_B(s),-1.1067431421857195,0.26840499703722065,1.113343703451595,1.3152582561845205
VE3_B(s),-0.380442955126341,0.7036166338068781,1.0420567948630728,0.35152162539920395
VE1sign_B(s),1.2105003117656306,0.22608697120881394,0.9767076798356544,1.4868355253797085
VE2sign_B(s),0.5649001454906276,0.5721416847255629,0.9028835692932992,0.5583686177058942
VE3sign_B(s),0.47267155030848435,0.636447526779879,1.214098574773729,0.45185330463462486
VR1_B(s),-0.1037571695799112,0.9173620566705083,1.057987506575869,0.0862530573097723
VR2_B(s),-1.8445719036428656,0.06509983723764177,1.0042843747533077,2.731833229960573
VR3_B(s),0.08070002078437537,0.9356805202884368,1.0196225910296397,0.06648118524716891
ATS1m,-0.017292861596651866,0.9862029803738575,1.0296666276817623,0.013893083118136465
ATS2m,0.1152857439776791,0.9082186376756121,1.006767263305034,0.09627013897455404
ATS3m,0.5994858686839314,0.5488489307467032,0.9903954290164992,0.5999320470210597
ATS4m,0.09222859518214328,0.9265164191921244,1.0150663552829,0.07632351167373526
ATS5m,0.5994858686839314,0.5488489307467032,1.0015041938221025,0.5999320470210597
ATS6m,-0.05764287198883955,0.9540330995169046,1.0642325419954457,0.047056912625343617
ATS7m,-0.52455013509844,0.5998959588819602,1.1021650920050121,0.5109990406652316
ATS8m,-0.12105003117656306,0.9036514073723857,1.0792727722593567,0.10131160427085432
ATS1v,0.386207242325225,0.6993431904720091,1.0070020052526245,0.3576136837428012
ATS2v,0.24210006235312612,0.8087026298877622,1.0092123161449706,0.2123240068913832
ATS3v,0.19598576476205448,0.8446213080048428,1.0080057888054244,0.16886690828425613
