cid,isosmiles,Type,MLOGP,ALOGP,ESOL,Canonical_smis
345462,C1=CN=CC2=C1N=CN2C3C(C(C(O3)CO)O)O,Adenosine,-1.27079476,-1.2439,-0.751955021,OCC1OC(n2cnc3ccncc32)C(O)C1O
345785,CCSC1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)N,Adenosine,0.96591657,-0.8077,-1.66055684,CCSC1C(N)C(CO)OC1n1cnc2c(N)ncnc21
350834,CC(C1C(C(C(O1)N2C=NC3=C2N=CN=C3Cl)O)O)O,Adenosine,0.15391657,-0.5615,-1.617879636,CC(O)C1OC(n2cnc3c(Cl)ncnc32)C(O)C1O
354916,C1=C(OC(C1O)N2C=NC3=C(N=CN=C32)N)CO,Adenosine,0.307502449,-1.438,-1.090549449,Nc1ncnc2c1ncn2C1OC(CO)=CC1O
355280,C1=C(C(C(C1N2C3=NC=NC(=C3N=N2)N)O)O)CO,Adenosine,-0.025505569,-1.6366,-0.775527987,Nc1ncnc2c1nnn2C1C=C(CO)C(O)C1O
356732,C[S+](C)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,Adenosine,0.96591657,-0.7646,-1.587777195,C[S+](C)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O
356796,C1C(C(C(C1N2C3=NC=NC(=C3N=N2)N)N=[N+]=[N-])O)CO,Adenosine,0.06161537,na,-1.479777905,[N-]=[N+]=NC1C(O)C(CO)CC1n1nnc2c(N)ncnc21
357072,C1CC(CC1CO)N2C=NC3=C(N=CN=C32)N,Adenosine,1.786340787,0.1203,-2.071461267,Nc1ncnc2c1ncn2C1CCC(CO)C1
358197,C1C(C(OC1CO)N2C=NC3=C(N=CN=C32)N)CO,Adenosine,0.684875901,-1.1605,-1.256474497,Nc1ncnc2c1ncn2C1OC(CO)CC1CO
358367,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)CO)N,Adenosine,-0.054132118,-2.2642,-0.678940657,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1CO
359064,C1CC(OC1CO)N2C=NC3=C(N=C(N=C32)Cl)N,Adenosine,1.70120524,0.2404,-2.284267752,Nc1nc(Cl)nc2c1ncn2C1CCC(CO)O1
360644,C1=CC(C(C1N2C=NC3=C(N=CN=C32)N)O)(CO)O,Adenosine,0.192968449,-1.7649,-0.930404912,Nc1ncnc2c1ncn2C1C=CC(O)(CO)C1O
360646,CC1(C(OC(C1O)N2C=NC3=C(N=CN=C32)N)CO)O,Adenosine,-0.054132118,-1.8151,-0.915797457,CC1(O)C(CO)OC(n2cnc3c(N)ncnc32)C1O
361921,CNC1=C2C(=NC=N1)N(C=N2)C3C(CC(O3)CO)F,Adenosine,1.574947922,0.0483,-2.029032002,CNc1ncnc2c1ncn2C1OC(CO)CC1F
365913,C1=C(C2=C(N1C3C(C(C(O3)CO)O)O)C(=O)NN=C2N)I,Adenosine,-0.183277013,-1.4107,-1.579523722,Nc1n[nH]c(=O)c2c1c(I)cn2C1OC(CO)C(O)C1O
365914,C1=C(C2=C(N1C3C(C(C(O3)CO)O)O)C(=O)NN=C2N)Br,Adenosine,-0.318096648,-1.2405,-1.342235918,Nc1n[nH]c(=O)c2c1c(Br)cn2C1OC(CO)C(O)C1O
366988,CC1(CC(C(O1)N2C=NC3=C(N=CN=C32)N)O)CO,Adenosine,0.684875901,-1.242,-1.37058583,CC1(CO)CC(O)C(n2cnc3c(N)ncnc32)O1
370629,C1CCC(C(C1)N2C=NC3=C(N=CN=C32)N)O,Adenosine,1.786340787,0.516,-2.295964866,Nc1ncnc2c1ncn2C1CCCCC1O
371485,C1CCC(CC(C1)N2C=NC3=C(N=CN=C32)N)O,Adenosine,2.067381456,0.5784,-2.538454922,Nc1ncnc2c1ncn2C1CCCCC(O)C1
373953,C1C(CC(C1CO)CO)N2C=NC3=C(N=CN=C32)N,Adenosine,1.308245909,-0.7861,-1.62898476,Nc1ncnc2c1ncn2C1CC(CO)C(CO)C1
374904,COC1CC(OC1CO)N2C=NC3=C(N=CN=C32)N,Adenosine,0.684875901,-0.8453,-1.42342776,COC1CC(n2cnc3c(N)ncnc32)OC1CO
375477,CCNC1=C2C(=NC=N1)N(C=N2)C3C(CC(O3)CO)F,Adenosine,1.85124071,0.3971,-2.238894144,CCNc1ncnc2c1ncn2C1OC(CO)CC1F
387072,C1CC(C=CC1CO)N2C=NC3=C(N=CN=C32)N,Adenosine,1.981474004,0.2669,-2.249617667,Nc1ncnc2c1ncn2C1C=CC(CO)CC1
387981,CC1C(C(C(O1)N2C=NC3=C(N=C(N=C32)Cl)N)(C)O)O,Adenosine,1.23391657,-0.0714,-2.216653312,CC1OC(n2cnc3c(N)nc(Cl)nc32)C(C)(O)C1O
391259,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)(CO)C(F)(F)F)O,Adenosine,1.10291137,-0.3902,-2.088638686,Nc1ncnc2c1ncn2C1CC(O)C(CO)(C(F)(F)F)O1
391266,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@H](C3(F)F)CO)CO)N,Adenosine,1.308245909,-1.0991,-1.645591432,Nc1ncnc2c1ncn2[C@H]1[C@H](CO)[C@@H](CO)C1(F)F
391363,CC1(C(CC(O1)N2C=NC3=CN=CN=C32)O)CO,Adenosine,0.35320524,-0.8413,-1.403269881,CC1(CO)OC(n2cnc3cncnc32)CC1O
393623,C1CC(OCC1N2C=NC3=C(N=CN=C32)N)CO,Adenosine,1.02720524,-0.5273,-1.686972957,Nc1ncnc2c1ncn2C1CCC(CO)OC1
419564,C1=C(C2=C(N=CN=C2N1C3C(C(C(O3)CO)O)O)N)C(=O)NO,Adenosine,-0.639363623,-2.5966,-0.586880568,Nc1ncnc2c1c(C(=O)NO)cn2C1OC(CO)C(O)C1O
424081,CCOC(=O)C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,Adenosine,0.222176468,-1.2114,-1.113402889,CCOC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O
