ID,B09[O-O],CATS2D_06_DL,SpMAD_EA(ri),SM5_X,P_VSA_charge_7,CATS2D_04_AA,CATS2D_05_DL,H-052,CATS2D_09_AA,F05[N-N],SpDiam_AEA(ed),MATS3m,P_VSA_LogP_5,Eig04_AEA(bo),nN(CO)2,CATS2D_03_DL,s2_numRotBonds,P_VSA_LogP_4,Mv,IC1,MATS2m,MATS2p,GATS6i,P_VSA_charge_2,Eig03_AEA(ed),CATS2D_05_DA,GATS2p,C-016,s2_pathLength,GATS8i
Skilling_2018_6a,0.0,0.75,0.0,1.4349632593280148e-14,0.2613647288522746,0.4285714285714285,0.6666666666666666,1.0,0.0,0.0,1.0000000000000004,0.993780497176458,0.6725810830252303,0.34885684815371,0.0,0.5,0.1904761904761902,0.1841300033450082,0.067766276699885,0.2263552186506605,0.3528319888715125,0.0555725134406391,0.021398284111064,0.1754099363913025,0.454275632307537,0.0,0.949820185465328,1.0,0.2727272727272727,0.435809523011178
Skilling_2018_6b,0.0,0.75,0.0354103489744446,0.0,0.2613647288522746,0.4285714285714285,0.6666666666666666,1.0,0.0,0.0,0.9980098081597152,1.0,0.6725810830252303,0.3488568286235907,0.0,0.5,0.1904761904761902,0.1841300033450082,0.112683771518621,0.3136992397871965,0.3853224830038117,0.0828648439922365,0.0299858535434731,0.1754099363913025,0.4542756323075441,0.0,0.9172028695906488,1.0,0.2727272727272727,0.4451812375382626
Skilling_2018_6c,0.0,0.75,0.121220203493781,1.3711254354120683e-14,0.2613647288522746,0.4285714285714285,0.6666666666666666,1.0,0.0,0.0,0.9894736306463394,0.9972564706425904,0.6725810830252303,0.3488542484141743,0.0,0.5,0.1904761904761902,0.1841300033450082,0.2308877052521465,0.5197898014091744,0.4533036873739258,0.1583508006836623,0.0776175153339866,0.1754099363913025,0.4542756323012185,0.0,0.8281916012251287,1.0,0.2727272727272727,0.4920136291760788
Skilling_2018_6d,0.0,0.75,0.1742095517367676,1.6903145549918008e-14,0.2613647288522746,0.4285714285714285,0.6666666666666666,1.0,0.0,0.0,0.9790422431487014,0.978904734703525,0.6725810830252303,0.3488282056580618,0.0,0.5,0.1904761904761902,0.1841300033450082,0.3108491898365848,0.6389473062407411,0.4859038515868514,0.2125700307271374,0.1314471004593542,0.1754099363913025,0.454275631442262,0.0,0.7652437993018775,1.0,0.2727272727272727,0.5642684464641019
Skilling_2018_6e,0.0,0.5,0.2368312709286311,2.4535928844215963e-14,0.2613647288522746,0.4285714285714285,0.3333333333333333,1.0,0.0,0.0,0.9546686714741176,0.9345764024280334,0.6725810830252303,0.3485402381579949,0.0,0.5,0.1904761904761902,0.1841300033450082,0.4121337369768625,0.7629632535995459,0.5123899669526473,0.285121360238636,0.2610635752492261,0.1754099363913025,0.4542755140250385,0.0,0.6821543943571946,1.0,0.2727272727272727,0.5720354210116376
Nuthanakanti_2020_3a,1.0,0.75,0.3655361673115038,0.0466463064142851,0.2471974771325583,0.4285714285714285,0.3333333333333333,0.0,0.2857142857142857,0.0,0.4470595244456663,0.8000134128699614,0.1965981367147225,0.5811646765865555,1.0,0.5,0.0,0.4383245157047231,0.0803793875311456,0.1504655521170206,0.3527079894264125,0.2098715880820889,0.3231280553139655,0.5927893141780098,0.5107460458623319,0.3333333333333333,0.8359352563513687,0.0,0.0909090909090908,0.5152930442820909
Nuthanakanti_2020_3b,1.0,0.75,0.3081838444248337,0.0466463064142679,0.2471974771325583,0.4285714285714285,0.3333333333333333,0.0,0.2857142857142857,0.0,0.4501967673736824,0.8075826397106758,0.1965981367147225,0.5811646840274869,1.0,0.5,0.0,0.4383245157047231,0.0368864312642971,0.0711803563783994,0.3140602758507848,0.1704769963998648,0.3216548429704584,0.5927893141780098,0.5107460458623319,0.3333333333333333,0.8759447418515651,0.0,0.0909090909090908,0.5230608589493786
Nuthanakanti_2020_3c,1.0,0.75,0.2574594434351276,0.046646306414301,0.2471974771325583,0.4285714285714285,0.3333333333333333,0.0,0.2857142857142857,0.0,0.4521837732618352,0.8107040786645051,0.1965981367147225,0.5811646843850617,1.0,0.5,0.0,0.4383245157047231,0.0,0.0,0.2786612644482478,0.1378138625739301,0.3209307997882651,0.5927893141780098,0.5107460458623319,0.3333333333333333,0.9093747014308078,0.0,0.0909090909090908,0.5296877986327195
Nuthanakanti_2020_4a,1.0,0.5,0.2238436205520422,0.046646306414273,0.0551535574050765,0.4285714285714285,0.3333333333333333,0.0,0.2857142857142857,0.0,0.4421338496759821,0.7955526636393063,0.1524488476278957,0.4502015961093075,1.0,0.0,0.0,0.4383245157047231,0.1051839641520882,0.1912686443434172,0.2518609937765061,0.0466940328058727,0.426217163971113,0.5927893141780098,0.2122811472085657,0.3333333333333333,0.94152303367441,1.0,0.0909090909090908,0.5019088102517566
Nuthanakanti_2020_4b,1.0,0.5,0.1732100294740259,0.0466463064142845,0.0551535574050765,0.4285714285714285,0.3333333333333333,0.0,0.2857142857142857,0.0,0.4452710925713128,0.8016442056386955,0.1524488476278957,0.4502016005862543,1.0,0.0,0.0,0.4383245157047231,0.0577009174777192,0.1065865884459213,0.221784707397358,0.0210291539208428,0.4133983460419714,0.5927893141780098,0.2122811472094969,0.3333333333333333,0.9735039386337704,1.0,0.0909090909090908,0.5114680502578475
