cid,Probability of nongelator,Probability of gelator,rank,%
21856771,0.5272589762215223,0.4727410237784777,1563,0.215
15509509,0.5272423605078371,0.4727576394921629,1564,0.216
11870685,0.5272308774392422,0.4727691225607577,1565,0.216
96326068,0.5272308774392422,0.4727691225607577,1566,0.216
6553756,0.5272308774392422,0.4727691225607577,1567,0.216
25724943,0.5272308774392422,0.4727691225607577,1568,0.216
2779363,0.5272308774392422,0.4727691225607577,1569,0.216
11870684,0.5272308774392422,0.4727691225607577,1570,0.216
128771,0.5272140108371376,0.4727859891628624,1571,0.216
13963301,0.5272077944550053,0.4727922055449947,1572,0.217
71539358,0.5271773495545126,0.4728226504454874,1573,0.217
456327,0.5271766525150775,0.4728233474849225,1574,0.217
461854,0.5271766525150775,0.4728233474849225,1575,0.217
456648,0.5271766525150775,0.4728233474849225,1576,0.217
11243974,0.527063898842489,0.4729361011575109,1577,0.217
126945,0.5270147628998993,0.4729852371001007,1578,0.217
3008134,0.526962943179881,0.473037056820119,1579,0.218
13566115,0.5269609269263773,0.4730390730736227,1580,0.218
453864,0.5268938541612151,0.4731061458387848,1581,0.218
121487026,0.5268265147944997,0.4731734852055002,1582,0.218
5278547,0.5268144514097803,0.4731855485902196,1583,0.218
191803,0.5267520582610674,0.4732479417389326,1584,0.218
21140106,0.5267352496527062,0.4732647503472938,1585,0.218
473827,0.5267170607101906,0.4732829392898093,1586,0.219
99302,0.5267057744727885,0.4732942255272115,1587,0.219
149,0.5267057744727885,0.4732942255272115,1588,0.219
439176,0.5267057744727885,0.4732942255272115,1589,0.219
58108938,0.5267057744727885,0.4732942255272115,1590,0.219
688097,0.5267057744727885,0.4732942255272115,1591,0.219
73265308,0.5267022020047138,0.4732977979952861,1592,0.219
13009312,0.5267022020047138,0.4732977979952861,1593,0.22
147569,0.5267022020047138,0.4732977979952861,1594,0.22
90488943,0.5267022020047138,0.4732977979952861,1595,0.22
92132157,0.5267022020047138,0.4732977979952861,1596,0.22
6602111,0.5267022020047138,0.4732977979952861,1597,0.22
471486,0.5266848406351685,0.4733151593648315,1598,0.22
23253577,0.5266815559516549,0.473318444048345,1599,0.22
14237479,0.5266462020306206,0.4733537979693793,1600,0.22
121486990,0.5266363886312682,0.4733636113687319,1601,0.221
54561889,0.5265682082937707,0.4734317917062293,1602,0.221
20279,0.5265672240536534,0.4734327759463466,1603,0.221
21147181,0.5265672240536534,0.4734327759463466,1604,0.221
24867261,0.5265672240536534,0.4734327759463466,1605,0.221
9992648,0.5265522764940802,0.4734477235059197,1606,0.221
107643,0.5265522764940802,0.4734477235059197,1607,0.221
92132277,0.5265522764940802,0.4734477235059197,1608,0.222
7269451,0.5265522764940802,0.4734477235059197,1609,0.222
13887579,0.5265522764940802,0.4734477235059197,1610,0.222
136643516,0.5265368387865533,0.4734631612134466,1611,0.222
451603,0.5265209924741185,0.4734790075258814,1612,0.222
66619645,0.5265176879516555,0.4734823120483445,1613,0.222
21796142,0.5264543598995994,0.4735456401004005,1614,0.222
5273629,0.5263961958254026,0.4736038041745974,1615,0.223
10689555,0.5263893759889064,0.4736106240110935,1616,0.223
136808318,0.5263667852320069,0.4736332147679931,1617,0.223
15928745,0.5263667852320069,0.4736332147679931,1618,0.223
121486862,0.5262981231467647,0.4737018768532353,1619,0.223
14842863,0.5262181906153962,0.4737818093846038,1620,0.223
92160925,0.5261471616094615,0.4738528383905385,1621,0.223
267376,0.5261471616094613,0.4738528383905386,1622,0.224
121486765,0.5260715568853465,0.4739284431146536,1623,0.224
11779021,0.5260715096363724,0.4739284903636276,1624,0.224
44308761,0.5260441732884282,0.4739558267115717,1625,0.224
472635,0.5260441732884281,0.4739558267115719,1626,0.224
5273510,0.5260208177631172,0.4739791822368828,1627,0.224
162660830,0.526018376508284,0.4739816234917159,1628,0.224
451457,0.5260104683075293,0.4739895316924707,1629,0.224
512591,0.5259478068491821,0.4740521931508178,1630,0.225
25030767,0.5259472566565486,0.4740527433434514,1631,0.225
503316,0.5259451785948732,0.4740548214051267,1632,0.225
13927,0.5259331088355537,0.4740668911644464,1633,0.225
472175,0.5259331088355537,0.4740668911644464,1634,0.225
25796482,0.5259331088355537,0.4740668911644464,1635,0.225
86308410,0.5259331088355537,0.4740668911644464,1636,0.225
454161,0.5258881907455755,0.4741118092544245,1637,0.226
128924,0.5257222039389896,0.4742777960610104,1638,0.226
22791353,0.5257154423577661,0.4742845576422339,1639,0.226
29982443,0.5257051499979251,0.4742948500020749,1640,0.226
454737,0.5256741601203232,0.4743258398796768,1641,0.226
44401919,0.5256634248457135,0.4743365751542865,1642,0.226
100222,0.525601126090645,0.474398873909355,1643,0.226
15928607,0.5255738517650457,0.4744261482349544,1644,0.227
131847727,0.5255731074137726,0.4744268925862274,1645,0.227
121486935,0.5255454927667922,0.4744545072332078,1646,0.227
131881043,0.525509207581421,0.4744907924185791,1647,0.227
271315,0.5254701372593189,0.474529862740681,1648,0.227
451901,0.5254701372593189,0.474529862740681,1649,0.227
473832,0.5254701372593189,0.474529862740681,1650,0.227
181830,0.5254492505380267,0.4745507494619733,1651,0.228
6480471,0.5254400496471023,0.4745599503528976,1652,0.228
14326905,0.5254116607325212,0.4745883392674788,1653,0.228
9840777,0.525411660732521,0.4745883392674789,1654,0.228
14803115,0.5253735816997789,0.4746264183002212,1655,0.228
14803116,0.5253735816997789,0.4746264183002212,1656,0.228
451876,0.5253705988370903,0.4746294011629097,1657,0.228
121009327,0.5253327533403416,0.4746672466596584,1658,0.228
89258969,0.5253069446845542,0.4746930553154457,1659,0.229
267369,0.5253069446845542,0.4746930553154457,1660,0.229
14862326,0.5252398184731799,0.47476018152682,1661,0.229
