,C-016,H-052,F10[O-O],VE3sign_D/Dt,SpDiam_AEA(ed),P_VSA_charge_4,CATS2D_05_DL,SM10_AEA(dm),CATS2D_09_DA,CATS2D_06_DL,GATS7s,CATS2D_03_DL,VE1sign_B(p),B09[O-O],MATS3p,SpMAD_EA(ri),VE1sign_Dz(v),F05[N-N],P_VSA_charge_7,F07[N-O],GATS6i,CATS2D_05_DA,CATS2D_04_AA,nN(CO)2,Group
452080,0.0,0.0,0.0,0.8551760873158312,0.18320203325500506,0.1577236234876368,0.0,0.19195384740843557,0.09090909090909091,0.0,0.30557685024827164,0.3333333333333333,0.3418060166990165,0.0,0.44609758335044236,0.5727766294546326,0.24606759558980024,0.0,0.06401463990916045,0.09090909090909091,0.5275632825111183,0.08333333333333333,0.16666666666666666,0.0,Pubchem
452342,0.5,0.0,0.0,0.8763750042704448,0.1329527117415341,0.0,0.25,0.14172844331723222,0.09090909090909091,0.125,0.32173079518115033,0.16666666666666666,0.5460979248954614,0.0,0.5670947130183348,0.4962755624226096,0.24639237534355168,0.0,0.0,0.18181818181818182,0.6570793964535224,0.0,0.25,0.0,Pubchem
453165,0.25,0.0,0.0,0.7739091634490292,0.14076077550170507,0.1577236234876368,0.0,0.14038578204071783,0.09090909090909091,0.0,0.3935070616377473,0.0,0.5884929477151285,0.0,0.6219253798199356,0.29827101088824204,0.21107661344225867,0.0,0.06873705714906615,0.18181818181818182,0.7454326685819264,0.08333333333333333,0.25,0.0,Pubchem
453494,0.0,0.0,0.0,0.8419906972988035,0.1769110348857248,0.0,0.125,0.15164060512977273,0.0,0.375,0.41369633070701317,0.0,0.14316696628355272,0.0,0.6266693307528128,0.5298376363294528,0.35667491782580585,0.0,0.15585863343315803,0.0,0.5013414712848898,0.08333333333333333,0.08333333333333333,0.0,Pubchem
453663,0.25,0.14285714285714285,0.0,0.8513341291861799,0.297236937738913,0.4495698903060008,0.0,0.3301808693584166,0.18181818181818182,0.125,0.30947939511593847,0.16666666666666666,0.6071760305674038,0.0,0.5125600523064794,0.4759479678686054,0.04270734097180904,0.125,0.10550609541911676,0.18181818181818182,0.7067043036776111,0.08333333333333333,0.25,0.0,Pubchem
453782,0.0,0.0,0.0,0.8525563711616407,0.21164449945890795,0.0,0.0,0.16544051795928783,0.18181818181818182,0.125,0.34553105849471133,0.0,0.5100607261880616,1.0,0.3626429474893334,0.5448132500370226,0.16442949899805698,0.0,0.0,0.09090909090909091,0.34399002563935405,0.08333333333333333,0.41666666666666663,0.3333333333333333,Pubchem
455411,0.25,0.0,0.0,0.8497809971579001,0.14425075426621947,0.18477840561872733,0.0,0.1622039217188972,0.09090909090909091,0.25,0.35865278518444443,0.16666666666666666,0.30443446834989213,0.0,0.6561330249842282,0.49449841754228263,0.24019021080600172,0.0,0.0,0.0,0.49015112663565924,0.16666666666666666,0.25,0.0,Pubchem
461149,0.0,0.21428571428571427,0.0,0.8346743905562445,0.013192676124626379,0.0,0.0,0.17078369141719885,0.09090909090909091,0.0,0.2745542385694879,0.16666666666666666,0.4503249740545009,1.0,0.4332822231783641,0.7559942126363683,0.19223181100780512,0.0,0.12802927981832107,0.09090909090909091,0.24810706379204633,0.08333333333333333,0.25,0.3333333333333333,Pubchem
462380,0.0,0.0,0.0,0.9062001965700209,0.4293765636242155,0.0,0.0,0.4306620082570073,0.09090909090909091,0.125,0.370172093804191,0.3333333333333333,0.47892187817022913,1.0,0.41759671893190864,0.7087657529874347,0.07010285130169115,0.0,0.06401463990916045,0.09090909090909091,0.43924887891632775,0.08333333333333333,0.41666666666666663,0.3333333333333333,Pubchem
464137,0.25,0.14285714285714285,0.0,0.8763750042704448,0.1329527117415341,0.0,0.125,0.14172844331723222,0.09090909090909091,0.125,0.2530608761265851,0.16666666666666666,0.5914280750898671,0.0,0.5854262138966827,0.43880325825195765,0.1996460980883494,0.0,0.10550609541911676,0.09090909090909091,0.5703707093888861,0.08333333333333333,0.08333333333333333,0.0,Pubchem
